F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	NATIVE	GENDER
2.9571240810588	0.20086504761065802	6.935591026379851	44	11.0	1.8333333333333333	0.75	1	5	0.6	중국	남자
-0.3454083675757697	0.12896042348628697	6.408908600112655	124	7.294117647058823	1.9375	0.5	5	18	0.2777777777777778	중국	남자
0.566937389041754	0.15454765547353003	6.0374334760644	50	5.555555555555555	2.1739130434782608	0.64	1	10	0.4	중국	여자
1.305756204560449	0.17767791640603955	5.933917656627142	50	8.333333333333334	1.9230769230769231	0.6	1	7	0.2857142857142857	중국	남자
-0.40343757043197864	0.13352528742904218	6.085780533902144	57	7.125	2.28	0.543859649122807	1	9	0.5555555555555556	중국	남자
0.9032595825575198	0.17219823756196193	5.7105199480427995	22	7.333333333333333	2.0	0.8181818181818182	1	4	0.25	중국	남자
1.3628180365782772	0.17641678331543553	6.031212965942718	92	9.2	1.9166666666666667	0.6304347826086957	1	11	0.36363636363636365	나이지리아	남자
1.0238714298499472	0.15890525344933681	6.316929577979873	68	9.714285714285714	2.125	0.6176470588235294	1	8	0.625	중국	남자
1.2133543656121255	0.17696128838145603	5.864307798118842	50	5.555555555555555	2.1739130434782608	0.62	1	10	0.3	중국	여자
-0.8071934024600802	0.1255308287159796	6.158977220555204	107	13.375	1.9814814814814814	0.5420560747663551	1	9	0.0	파키스탄	남자
0.20235039889720274	0.14940382364710103	5.89561952407065	84	7.0	2.048780487804878	0.44047619047619047	1	13	0.38461538461538464	미국	여자
1.8521913146774516	0.18223884058519416	6.339495759706082	93	6.642857142857143	1.8979591836734695	0.44086021505376344	1	15	0.2	중국	남자
2.095478871906936	0.19644598031080124	6.185936810612932	20	6.666666666666667	2.0	0.85	1	4	0.25	대만	여자
-0.4228052380886684	0.13549567300002568	5.957504242346257	82	9.11111111111111	2.05	0.5	1	10	0.2	미국	여자
1.1962974672793938	0.16589130656375844	6.224340893507165	75	8.333333333333334	2.0833333333333335	0.56	1	10	0.1	중국	여자
-1.3288252228465107	0.11989639643515675	6.011709019488516	98	10.88888888888889	1.9215686274509804	0.5306122448979592	1	10	0.2	태국	여자
-0.8097941141567565	0.13368529987119324	5.67045989255533	70	5.833333333333333	2.413793103448276	0.5	1	13	0.5384615384615384	일본	여자
0.7951886926875218	0.16354273762241126	5.909798332577541	48	6.857142857142857	2.0869565217391304	0.625	1	8	0.5	중국	여자
-1.4483197057741695	0.11538578785476303	6.218258896251823	146	13.272727272727273	2.085714285714286	0.5205479452054794	1	12	0.08333333333333333	요르단	남자
-0.7627151260479779	0.12331670900735153	6.346486036143149	104	10.4	2.0	0.4519230769230769	1	11	0.36363636363636365	일본	여자
-0.35318222942579647	0.14341088222729306	5.619789308501792	45	5.625	2.3684210526315788	0.5111111111111111	1	9	0.3333333333333333	중국	여자
-0.6449235225578978	0.13295913121006003	5.87618458712218	102	9.272727272727273	2.0816326530612246	0.43137254901960786	1	12	0.08333333333333333	사우디아라비아	남자
0.026210188598544997	0.13591763361490086	6.383607263604481	91	10.11111111111111	2.1666666666666665	0.5494505494505495	1	10	0.0	홍콩	여자
0.16437636932893357	0.1491520664089971	5.868943218961787	43	7.166666666666667	2.263157894736842	0.46511627906976744	1	7	0.42857142857142855	중국	여자
0.504336531217632	0.14061156007373118	6.616127336153153	153	12.75	1.8888888888888888	0.477124183006536	1	13	0.3076923076923077	일본	여자
0.8556794162688257	0.1475043396440629	6.635140972539386	143	11.916666666666666	1.9324324324324325	0.5244755244755245	2	13	0.0	홍콩	여자
1.2825338197374654	0.17290492627818047	6.066059029372824	80	7.2727272727272725	2.2222222222222223	0.5125	1	12	0.16666666666666666	중국	여자
-1.7595490374718212	0.11147924929403547	6.210730241700751	97	10.777777777777779	1.94	0.5154639175257731	1	10	0.1	몽골	여자
0.23673304356958774	0.13955683967683485	6.402272205359526	79	8.777777777777779	2.1944444444444446	0.5443037974683544	1	10	0.4	일본	여자
0.7726566974648698	0.16861137788628408	5.703454562567581	53	6.625	2.2083333333333335	0.6037735849056604	1	9	0.3333333333333333	중국	남자
-0.4855855732268571	0.1280389448533507	6.324538144563454	121	10.083333333333334	1.9836065573770492	0.48760330578512395	1	13	0.46153846153846156	일본	여자
-0.8061035430401273	0.12718475216930736	6.056474186944421	101	10.1	1.9423076923076923	0.504950495049505	1	11	0.45454545454545453	일본	여자
2.070121799101946	0.2087099211407968	5.861460871696365	44	5.5	2.0	0.7045454545454546	1	9	0.5555555555555556	중국	남자
0.43784459825926536	0.1454325984333095	6.313882094478288	105	8.75	2.0588235294117645	0.5047619047619047	1	13	0.3076923076923077	방글라데시	남자
-0.08866976033392229	0.14020735584896776	6.043623648559732	77	7.7	2.264705882352941	0.4675324675324675	1	11	0.18181818181818182	사우디아라비아	남자
1.5564189623290663	0.19120216291227718	5.7864853212478	48	6.0	2.0	0.7291666666666666	1	9	0.5555555555555556	중국	여자
-0.28398550746507395	0.13495595289870235	6.1258395393085046	115	11.5	1.9166666666666667	0.5304347826086957	1	11	0.18181818181818182	영국	여자
0.8350750966030533	0.16066173061747097	6.059332710141148	85	9.444444444444445	1.9318181818181819	0.5647058823529412	1	10	0.3	사우디아라비아	남자
0.8058914640794882	0.15179832390979578	6.393579484892138	84	10.5	2.0	0.5357142857142857	1	9	0.2222222222222222	중국	남자
1.0200816801478436	0.15599616071712935	6.430495855746165	105	13.125	1.9444444444444444	0.5428571428571428	1	9	0.0	스웨덴	여자
0.8703074737233114	0.15401133305182949	6.363336137162447	54	6.0	1.9285714285714286	0.6296296296296297	1	10	0.6	스웨덴	여자
